Date,Party Name,Qty,Rate,Amount,Product,Cost,Profit
2024-05-20,Ganesh Suppliers,9.2,3929.09,36147.63,Moong Dhall,3746,1684.43
2024-04-20,Balaji & Co,6.59,7962.53,52473.07,Toor Dhall,7587,2474.74
2024-08-03,Ganesh Suppliers,6.22,8688.64,54043.34,Toor Dust,8214,2952.26
2024-09-02,Balaji & Co,0.57,5980.94,3409.14,Orid Dust,5802,102.0
2024-04-10,Balaji & Co,12.17,6846.41,83320.81,Orid Dhall,6469,4593.08
2024-07-28,Vasanth Stores,1.82,7761.35,14125.66,Toor Dhall,7414,632.18
2024-06-28,Balaji & Co,10.81,7368.39,79652.3,Toor Dhall,7137,2501.33
2025-01-18,Vasanth Stores,20.68,8344.13,172556.61,Toor Dhall,7994,7240.69
2024-04-29,Balaji & Co,0.8,4318.17,3454.54,Moong Dhall,4164,123.34
2024-08-05,Sri Traders,7.85,3661.65,28743.95,Moong Dust,3701.25,-310.86
2024-11-21,Vasanth Stores,17.2,5406.15,92985.78,Orid Polish,5244,2788.98
2024-04-18,Balaji & Co,3.43,5056.95,17345.34,Orid Dust,4807,857.33
2025-01-21,Sri Traders,0.55,8719.93,4795.96,Toor Dhall,8214,278.26
2024-06-09,Sri Traders,2.25,6142.59,13820.83,Orid Dhall,5852,653.83
2024-09-28,Ganesh Suppliers,16.05,6478.74,103983.78,Orid Polish,6096,6142.98
2024-12-31,Sri Traders,2.64,3790.09,10005.84,Moong Dust,3647,377.76
2024-05-27,Vasanth Stores,8.49,7901.19,67081.1,Toor Dhall,7563,2871.23
2024-07-25,Ganesh Suppliers,6.05,6069.29,36719.2,Orid Dhall,5721,2107.15
2024-09-17,Amman Agencies,16.73,5606.92,93803.77,Orid Dhall,5246,6038.19
2024-10-05,Amman Agencies,9.62,4625.72,44499.43,Moong Dhall,4386,2306.11
2024-08-28,Amman Agencies,24.68,4425.21,109214.18,Moong Dhall,4199,5582.86
2024-05-05,Sri Traders,5.01,6095.66,30539.26,Orid Dust,5877,1095.49
2024-06-10,Ganesh Suppliers,2.9,3300.56,9571.62,Moong Dust,3131,491.72
2024-07-26,Sri Traders,23.16,8717.48,201896.84,Toor Dhall,8426,6750.68
2025-01-09,Ganesh Suppliers,0.62,3615.28,2241.47,Moong Dust,3389,140.29
2024-10-02,Amman Agencies,0.62,7814.89,4845.23,Toor Dust,7397,259.09
2024-04-08,Balaji & Co,5.66,6823.18,38619.2,Orid Polish,6462,2044.28
2024-07-12,Ganesh Suppliers,17.17,5585.26,95898.91,Orid Polish,5680.5,-1635.28
2024-06-28,Ganesh Suppliers,19.8,3842.26,76076.75,Moong Dhall,3638,4044.35
2025-01-13,Sri Traders,20.89,7599.12,158745.62,Toor Dhall,7121,9987.93
2024-06-20,Amman Agencies,8.32,6134.44,51038.54,Orid Polish,5766,3065.42
2024-05-22,Balaji & Co,24.36,4530.64,110366.39,Moong Dhall,4252,6787.67
2024-04-16,Vasanth Stores,7.0,8232.6,57628.2,Toor Dust,8106.0,886.2
2024-06-10,Balaji & Co,4.96,7755.98,38469.66,Toor Dust,7485,1344.06
2024-12-16,Sri Traders,0.79,8500.12,6715.09,Toor Dust,8117,302.66
2024-04-01,Balaji & Co,9.18,5275.05,48424.96,Orid Dhall,5098,1625.32
2024-04-21,Ganesh Suppliers,7.76,5795.32,44971.68,Orid Dust,5430,2834.88
2024-06-14,Amman Agencies,8.63,3720.63,32109.04,Moong Dhall,3604,1006.52
2024-07-25,Ganesh Suppliers,4.81,5774.05,27773.18,Orid Dhall,5427,1669.31
2024-08-06,Vasanth Stores,0.64,7617.79,4875.39,Toor Dust,7141,305.15
2024-06-25,Vasanth Stores,6.79,6854.3,46540.7,Toor Dust,6629,1529.79
2024-07-25,Ganesh Suppliers,1.61,8256.39,13292.79,Toor Dust,7838,673.61
2024-06-25,Balaji & Co,6.38,5271.09,33629.55,Orid Dust,5250.0,134.55
2024-10-14,Amman Agencies,14.11,4627.51,65294.17,Moong Dhall,4444,2589.33
2024-09-08,Vasanth Stores,7.19,5647.95,40608.76,Orid Dust,5300,2501.76
2024-08-06,Vasanth Stores,0.43,3747.6,1611.47,Moong Dust,3593,66.48
2024-11-16,Amman Agencies,2.98,6925.85,20639.03,Orid Polish,6509,1242.21
2024-10-02,Balaji & Co,4.66,3331.35,15524.09,Moong Dust,3176,723.93
2024-07-15,Amman Agencies,2.83,3350.65,9482.34,Moong Dust,3198,432.0
2024-06-30,Ganesh Suppliers,24.3,6385.64,155171.05,Orid Dhall,6091,7159.75
2024-11-13,Sri Traders,21.52,7005.51,150758.58,Orid Polish,6721,6122.66
2024-07-11,Amman Agencies,16.74,7021.83,117545.43,Orid Polish,6655,6140.73
2024-10-11,Amman Agencies,13.06,6047.36,78978.52,Orid Dhall,5740,4014.12
2025-03-10,Balaji & Co,3.83,4051.43,15516.98,Moong Dust,3797,974.47
2024-09-21,Amman Agencies,6.23,8074.75,50305.69,Toor Dhall,7799,1717.92
2024-11-08,Balaji & Co,21.43,7963.46,170656.95,Toor Dhall,7516,9589.07
2024-07-19,Amman Agencies,12.01,8364.22,100454.28,Toor Dhall,7923,5299.05
2024-10-20,Vasanth Stores,0.54,7026.05,3794.07,Orid Polish,6730,159.87
2024-08-19,Ganesh Suppliers,5.43,8083.04,43890.91,Toor Dust,8142.75,-324.22
2024-11-06,Amman Agencies,1.21,4636.97,5610.73,Moong Dhall,4414,269.79
2024-08-14,Balaji & Co,9.61,4573.56,43951.91,Moong Dhall,4420,1475.71
2024-04-27,Amman Agencies,2.39,5213.31,12459.81,Orid Dust,4974,571.95
2024-04-01,Balaji & Co,21.86,5186.3,113372.52,Orid Dhall,5000,4072.52
2024-06-05,Sri Traders,16.64,4044.48,67300.15,Moong Dhall,3787,4284.47
2024-06-04,Balaji & Co,13.65,9176.04,125252.95,Toor Dhall,8801,5119.3
2024-11-19,Balaji & Co,1.26,4128.42,5201.81,Moong Dust,3982,184.49
2024-04-19,Vasanth Stores,4.04,3975.17,16059.69,Moong Dust,3723,1018.77
2024-05-30,Balaji & Co,3.63,5954.97,21616.54,Orid Dhall,5588,1332.1
2024-07-21,Ganesh Suppliers,6.26,7399.7,46322.12,Toor Dust,6958,2765.04
2025-03-09,Amman Agencies,0.23,5920.01,1361.6,Orid Dust,5741,41.17
2024-09-03,Vasanth Stores,1.71,4532.01,7749.74,Moong Dhall,4523.4,14.73
2024-09-04,Amman Agencies,3.98,5229.59,20813.77,Orid Dust,5292.0,-248.39
2024-08-16,Sri Traders,3.01,7579.39,22813.96,Toor Dust,7133,1343.63
2024-06-23,Amman Agencies,4.21,3525.17,14840.97,Moong Dust,3354,720.63
2025-02-18,Amman Agencies,11.75,5999.42,70493.18,Orid Polish,5735,3106.93
2024-08-30,Ganesh Suppliers,4.58,8788.75,40252.47,Toor Dhall,8311,2188.09
2024-10-15,Vasanth Stores,21.46,5397.31,115826.27,Orid Dhall,5165,4985.37
2024-07-06,Amman Agencies,12.0,4117.62,49411.44,Moong Dhall,3958,1915.44
2024-10-17,Balaji & Co,1.55,6076.37,9418.37,Orid Dust,5873,315.22
2024-11-21,Vasanth Stores,9.53,6663.81,63506.11,Orid Dhall,6345,3038.26
2024-04-15,Balaji & Co,0.34,3859.31,1312.17,Moong Dhall,3741,40.23
2024-07-11,Ganesh Suppliers,21.56,5686.17,122593.83,Orid Dhall,5355,7140.03
2024-08-26,Sri Traders,17.63,6152.85,108474.75,Orid Polish,5839,5533.18
2024-10-07,Amman Agencies,0.43,3198.85,1375.51,Moong Dust,3059,60.14
2024-10-26,Vasanth Stores,4.45,6654.43,29612.21,Toor Dust,6417,1056.56
2024-08-13,Vasanth Stores,2.31,5248.16,12123.25,Orid Dhall,5026,513.19
2024-04-12,Ganesh Suppliers,13.78,3799.43,52356.15,Moong Dhall,3622,2444.99
2024-11-21,Vasanth Stores,23.7,8738.45,207101.27,Toor Dhall,8230,12050.27
2024-06-09,Balaji & Co,22.67,7172.04,162590.15,Orid Polish,6806,8298.13
2024-07-08,Ganesh Suppliers,1.3,3772.35,4904.06,Moong Dust,3526,320.26
2024-11-14,Sri Traders,3.37,5427.91,18292.06,Orid Polish,5200,768.06
2025-01-20,Amman Agencies,6.22,8957.42,55715.15,Toor Dust,8402,3454.71
2025-03-22,Amman Agencies,11.54,8795.96,101505.38,Toor Dhall,8480,3646.18
2024-10-09,Balaji & Co,3.15,7955.72,25060.52,Toor Dust,7644,981.92
2024-07-10,Sri Traders,10.77,3747.31,40358.53,Moong Dhall,3516,2491.21
2024-06-04,Sri Traders,1.14,4332.35,4938.88,Moong Dhall,4132,228.4
2024-04-06,Ganesh Suppliers,3.57,8377.03,29906.0,Toor Dust,8044,1188.92
2024-11-05,Ganesh Suppliers,1.89,3345.32,6322.65,Moong Dust,3164,342.69
2024-10-14,Sri Traders,0.69,3479.96,2401.17,Moong Dust,3261,151.08
2025-01-30,Sri Traders,3.73,6709.79,25027.52,Toor Dust,6480,857.12
2024-09-05,Ganesh Suppliers,20.52,6731.66,138133.66,Orid Polish,6532,4097.02
2024-09-12,Ganesh Suppliers,13.31,5688.79,75717.79,Orid Dhall,5411,3697.38
2024-10-09,Ganesh Suppliers,2.22,7798.89,17313.54,Toor Dust,7313,1078.68
2024-11-16,Sri Traders,7.52,3250.53,24443.99,Moong Dust,3153,733.43
2024-05-23,Vasanth Stores,7.76,6185.68,48000.88,Orid Polish,5878,2387.6
2024-07-21,Sri Traders,6.68,7188.74,48020.78,Toor Dust,6774,2770.46
2024-09-13,Sri Traders,24.06,6018.45,144803.91,Orid Dhall,5767,6049.89
2024-06-08,Vasanth Stores,14.77,3812.43,56309.59,Moong Dhall,3637,2591.1
2024-05-21,Ganesh Suppliers,10.7,6485.57,69395.6,Orid Dhall,6189,3173.3
2025-01-08,Vasanth Stores,4.02,3795.8,15259.12,Moong Dust,3631,662.5
2024-05-04,Ganesh Suppliers,11.85,8717.9,103307.11,Toor Dhall,8179,6385.96
2025-01-22,Vasanth Stores,2.2,5338.16,11743.95,Orid Dust,5050,633.95
2024-12-27,Balaji & Co,6.41,3992.38,25591.16,Moong Dust,3785,1329.31
2024-09-10,Sri Traders,6.67,5662.69,37770.14,Orid Polish,5400,1752.14
2024-06-02,Ganesh Suppliers,14.49,8300.25,120270.62,Toor Dhall,8001,4336.13
2024-06-14,Ganesh Suppliers,7.18,4004.07,28749.22,Moong Dhall,3842,1163.66
2024-04-25,Sri Traders,23.99,5995.93,143842.36,Orid Dhall,5615,9138.51
2024-11-29,Sri Traders,18.98,6703.71,127236.42,Orid Polish,6325,7187.92
2024-05-22,Ganesh Suppliers,6.71,5384.04,36126.91,Orid Dust,5132,1691.19
2024-10-24,Sri Traders,21.85,8284.0,181005.4,Toor Dhall,7792,10750.2
2024-04-16,Amman Agencies,0.98,3379.71,3312.12,Moong Dust,3166,209.44
2024-07-05,Balaji & Co,11.39,9160.23,104335.02,Toor Dhall,8884,3146.26
2024-09-23,Amman Agencies,2.09,5440.95,11371.59,Orid Dust,5115,681.24
2024-05-03,Vasanth Stores,24.15,4211.4,101705.31,Moong Dhall,4269.3,-1398.29
2024-09-15,Balaji & Co,0.89,4122.98,3669.45,Moong Dhall,3871,224.26
2024-07-24,Balaji & Co,0.28,7469.15,2091.36,Toor Dust,7072,111.2
2024-04-24,Balaji & Co,21.54,4289.43,92394.32,Moong Dhall,4076,4597.28
2024-06-09,Sri Traders,3.94,5602.88,22075.35,Orid Dust,5323,1102.73
2024-04-02,Amman Agencies,24.22,8547.75,207026.51,Toor Dhall,8080,11328.91
2024-09-04,Balaji & Co,3.18,6707.75,21330.65,Orid Dhall,6292,1322.09
2024-12-30,Vasanth Stores,19.94,4424.06,88215.76,Moong Dhall,4135,5763.86
2024-06-07,Vasanth Stores,7.01,3761.87,26370.71,Moong Dust,3534,1597.37
2024-07-25,Ganesh Suppliers,4.11,9541.6,39215.98,Toor Dhall,8934,2497.24
2024-08-03,Ganesh Suppliers,0.6,3679.77,2207.86,Moong Dust,3469,126.46
2024-06-25,Balaji & Co,4.36,8823.68,38471.24,Toor Dust,8419,1764.4
2024-05-12,Ganesh Suppliers,4.18,9302.19,38883.15,Toor Dhall,8804,2082.43
2024-11-28,Amman Agencies,2.15,4371.91,9399.61,Moong Dhall,4113,556.66
2024-04-01,Ganesh Suppliers,7.36,6184.6,45518.66,Orid Dust,5929,1881.22
2024-04-06,Sri Traders,1.09,3938.65,4293.13,Moong Dust,3692,268.85
2024-10-26,Ganesh Suppliers,2.34,4019.68,9406.05,Moong Dust,3771,581.91
2024-04-09,Ganesh Suppliers,10.6,6797.2,72050.32,Orid Polish,6353,4708.52
2024-06-17,Ganesh Suppliers,21.1,4235.58,89370.74,Moong Dhall,4098,2902.94
2024-09-13,Vasanth Stores,0.54,4101.27,2214.69,Moong Dust,3894,111.93
2024-05-24,Sri Traders,3.06,8388.97,25670.25,Toor Dust,8106,865.89
2025-03-20,Amman Agencies,20.71,5637.24,116747.24,Orid Dhall,5272,7564.12
2024-06-13,Ganesh Suppliers,3.06,5858.28,17926.34,Orid Dhall,5600,790.34
2024-09-03,Balaji & Co,17.68,4238.02,74928.19,Moong Dhall,4112,2228.03
2024-08-22,Sri Traders,5.37,3463.21,18597.44,Moong Dust,3254,1123.46
2024-06-27,Ganesh Suppliers,3.65,8079.11,29488.75,Toor Dust,7780,1091.75
2024-04-05,Amman Agencies,4.06,6768.64,27480.68,Toor Dust,6522,1001.36
2024-11-07,Amman Agencies,16.1,8821.63,142028.24,Toor Dhall,8336,7818.64
2024-10-20,Amman Agencies,4.67,6015.63,28092.99,Orid Dust,5744,1268.51
2024-10-11,Ganesh Suppliers,3.14,8268.38,25962.71,Toor Dhall,8014,798.75
2024-06-14,Balaji & Co,3.57,5616.54,20051.05,Orid Dust,5397,783.76
2024-07-24,Sri Traders,6.78,5466.55,37063.21,Orid Dust,5182,1929.25
2024-04-07,Ganesh Suppliers,1.44,3617.73,5209.53,Moong Dust,3468,215.61
2024-05-11,Amman Agencies,20.28,7107.38,144137.67,Orid Polish,6713,7998.03
2024-11-11,Sri Traders,9.91,6527.02,64682.77,Orid Dhall,6265,2596.62
2024-08-26,Balaji & Co,11.72,7833.35,91806.86,Toor Dhall,7429,4738.98
2024-10-01,Amman Agencies,7.58,3331.82,25255.2,Moong Dust,3182,1135.64
2024-08-01,Vasanth Stores,22.04,8778.36,193475.05,Toor Dhall,8256,11512.81
2024-07-30,Amman Agencies,8.23,8500.77,69961.34,Toor Dhall,8083,3438.25
2024-10-07,Ganesh Suppliers,3.52,7599.95,26751.82,Toor Dust,7284,1112.14
2024-08-19,Balaji & Co,6.25,5062.07,31637.94,Orid Dust,4886,1100.44
2024-04-20,Balaji & Co,19.11,4588.12,87678.97,Moong Dhall,4386,3862.51
2024-12-17,Amman Agencies,0.97,8201.97,7955.91,Toor Dust,7807,383.12
2024-06-28,Ganesh Suppliers,0.82,5573.78,4570.5,Orid Dhall,5392,149.06
2024-12-02,Sri Traders,5.74,6048.66,34719.31,Orid Dust,5704,1978.35
2024-12-29,Balaji & Co,3.96,3347.9,13257.68,Moong Dust,3217,518.36
