Date,Party Name,Amount,Expense Type,Product
2024-11-15,Balaji & Co,15914.51,Office Supplies,Moong Dust
2024-05-21,Amman Agencies,44771.37,Packing,Orid Dust
2024-07-21,Ganesh Suppliers,81694.45,Transport,Toor Dhall
2024-06-16,Amman Agencies,33573.61,Packing,Moong Dust
2024-05-21,Balaji & Co,46591.68,Packing,Orid Polish
2024-07-16,Amman Agencies,55696.04,Packing,Orid Polish
2024-10-25,Amman Agencies,43546.76,Transport,Toor Dust
2024-05-10,Vasanth Stores,46858.8,Packing,Orid Polish
2024-08-22,Vasanth Stores,53817.72,Salary,Moong Dhall
2024-09-01,Sri Traders,46468.14,Transport,Moong Dust
2024-06-05,Sri Traders,30945.55,Transport,Moong Dust
2024-07-27,Vasanth Stores,52088.98,Packing,Orid Polish
2024-09-06,Vasanth Stores,70088.05,Transport,Orid Polish
2024-04-16,Vasanth Stores,42805.08,Packing,Orid Polish
2024-05-26,Balaji & Co,52894.24,Packing,Toor Dust
2025-02-12,Amman Agencies,25473.43,Packing,Orid Dust
2024-09-03,Amman Agencies,75351.05,Transport,Orid Polish
2025-03-10,Balaji & Co,33978.98,Packing,Toor Dust
2025-03-14,Amman Agencies,15363.02,Packing,Moong Dust
2024-06-20,Balaji & Co,68846.01,Maintenance,Orid Polish
2024-10-23,Vasanth Stores,33984.54,Transport,Orid Dhall
2024-06-15,Ganesh Suppliers,49289.79,Transport,Orid Dust
2024-05-22,Ganesh Suppliers,60587.82,Salary,Toor Dhall
2024-06-08,Ganesh Suppliers,51728.52,Packing,Orid Dust
2024-06-01,Ganesh Suppliers,36690.97,Packing,Moong Dhall
2024-11-20,Ganesh Suppliers,24738.73,Packing,Orid Dhall
2024-08-26,Ganesh Suppliers,91668.87,Transport,Orid Dhall
2024-11-27,Ganesh Suppliers,23671.06,Office Supplies,Orid Polish
2024-09-27,Sri Traders,38199.95,Packing,Moong Dust
2024-10-23,Sri Traders,41960.27,Transport,Toor Dhall
2025-02-01,Vasanth Stores,37213.61,Transport,Toor Dhall
2025-02-07,Vasanth Stores,15072.33,Transport,Moong Dust
2024-07-14,Ganesh Suppliers,58120.31,Office Supplies,Orid Dhall
2024-11-29,Vasanth Stores,17190.6,Salary,Moong Dhall
2025-03-06,Vasanth Stores,23579.99,Packing,Orid Dust
2024-04-26,Sri Traders,38654.77,Packing,Orid Polish
2024-09-11,Sri Traders,94660.21,Packing,Toor Dhall
2024-06-08,Balaji & Co,37538.44,Transport,Moong Dhall
2024-09-16,Balaji & Co,58729.35,Packing,Orid Dust
2024-04-12,Ganesh Suppliers,39366.32,Packing,Orid Dhall
2024-07-12,Amman Agencies,63099.51,Transport,Orid Dust
2024-05-09,Balaji & Co,62098.23,Transport,Toor Dhall
2024-08-26,Amman Agencies,49401.4,Packing,Moong Dust
2025-02-14,Sri Traders,16600.5,Maintenance,Moong Dhall
2024-09-04,Sri Traders,55600.47,Office Supplies,Moong Dhall
2024-12-29,Ganesh Suppliers,13273.65,Transport,Orid Dhall
2024-05-10,Vasanth Stores,74770.96,Transport,Toor Dhall
2024-07-29,Balaji & Co,82358.48,Transport,Toor Dust
2024-08-06,Sri Traders,100000,Packing,Toor Dhall
2024-05-19,Ganesh Suppliers,24770.25,Packing,Moong Dust
2024-10-09,Balaji & Co,39784.69,Office Supplies,Toor Dust
2024-08-31,Balaji & Co,100000,Transport,Toor Dhall
2024-04-02,Sri Traders,35842.35,Packing,Orid Dust
2024-04-30,Amman Agencies,27085.6,Salary,Moong Dhall
2024-04-08,Amman Agencies,59815.79,Transport,Toor Dhall
2024-07-30,Ganesh Suppliers,80426.53,Transport,Toor Dhall
2025-03-06,Ganesh Suppliers,19864.98,Maintenance,Moong Dhall
2024-10-04,Ganesh Suppliers,31508.96,Maintenance,Orid Polish
2024-04-17,Balaji & Co,28578.94,Maintenance,Moong Dhall
2024-08-25,Ganesh Suppliers,78483.76,Packing,Orid Dhall
2024-04-22,Vasanth Stores,23348.69,Maintenance,Moong Dust
2024-04-12,Vasanth Stores,40999.3,Packing,Orid Dhall
2024-07-03,Balaji & Co,60456.01,Packing,Orid Dust
2025-02-04,Sri Traders,32572.4,Transport,Toor Dhall
2025-02-27,Amman Agencies,38646.37,Transport,Toor Dhall
2024-09-16,Amman Agencies,90961.34,Transport,Toor Dhall
2024-07-10,Sri Traders,72607.97,Transport,Toor Dust
2024-09-29,Balaji & Co,65702.82,Packing,Orid Dust
2024-08-27,Amman Agencies,83213.64,Transport,Orid Dhall
2024-08-23,Ganesh Suppliers,71511.18,Transport,Orid Dhall
2024-08-12,Amman Agencies,46040.96,Maintenance,Moong Dust
2025-03-14,Balaji & Co,25846.82,Transport,Toor Dust
2024-08-28,Sri Traders,56500.99,Transport,Moong Dust
2024-04-25,Vasanth Stores,36553.07,Maintenance,Orid Dust
2024-06-10,Vasanth Stores,71492.31,Packing,Orid Polish
2024-07-11,Vasanth Stores,83816.14,Transport,Toor Dust
2024-09-09,Vasanth Stores,49055.6,Transport,Moong Dust
2024-10-21,Ganesh Suppliers,49716.87,Packing,Toor Dhall
2024-10-26,Vasanth Stores,40921.85,Transport,Orid Dhall
2025-01-23,Ganesh Suppliers,8264.85,Transport,Moong Dhall
2024-08-28,Vasanth Stores,70629.33,Maintenance,Orid Dust
2024-06-29,Amman Agencies,37762.1,Transport,Moong Dhall
2024-04-02,Ganesh Suppliers,24748.35,Packing,Moong Dust
2024-07-07,Amman Agencies,55707.43,Salary,Orid Dhall
2024-07-20,Amman Agencies,39975.03,Packing,Moong Dust
2024-05-16,Amman Agencies,39152.99,Transport,Moong Dhall
2024-06-02,Vasanth Stores,50153.97,Maintenance,Orid Dust
2024-07-01,Vasanth Stores,40729.45,Maintenance,Moong Dhall
2024-05-17,Sri Traders,55186.4,Packing,Orid Dhall
2024-08-15,Vasanth Stores,75629.32,Packing,Orid Dhall
2024-06-20,Sri Traders,77494.66,Transport,Toor Dhall
2024-09-10,Amman Agencies,48589.81,Packing,Moong Dust
2024-05-29,Sri Traders,41453.78,Transport,Orid Polish
2024-07-04,Vasanth Stores,81494.59,Salary,Toor Dust
2024-10-16,Amman Agencies,21397.06,Packing,Moong Dust
2024-08-17,Sri Traders,49993.97,Transport,Moong Dust
2025-03-15,Amman Agencies,26050.57,Transport,Orid Dhall
2025-02-02,Amman Agencies,27679.57,Packing,Orid Dhall
2024-11-16,Ganesh Suppliers,29239.89,Packing,Toor Dust
2024-08-11,Ganesh Suppliers,65597.81,Packing,Moong Dhall
2024-08-18,Balaji & Co,91884.96,Transport,Toor Dust
2024-07-05,Ganesh Suppliers,61062.94,Transport,Orid Polish
2024-09-11,Balaji & Co,85329.24,Packing,Toor Dhall
2024-08-05,Vasanth Stores,99147.35,Transport,Orid Polish
2024-10-21,Sri Traders,48034.89,Packing,Toor Dust
2024-08-30,Balaji & Co,58803.91,Transport,Moong Dhall
2024-05-25,Amman Agencies,35377.51,Packing,Moong Dhall
2024-10-07,Vasanth Stores,24434.04,Transport,Moong Dhall
2024-10-30,Vasanth Stores,43752.81,Transport,Toor Dust
2025-03-10,Vasanth Stores,29914.14,Transport,Toor Dhall
2024-07-16,Vasanth Stores,33535.98,Maintenance,Moong Dust
2024-07-29,Amman Agencies,51401.86,Packing,Orid Dhall
2024-08-14,Balaji & Co,49808.27,Maintenance,Moong Dust
2024-09-01,Vasanth Stores,100000,Transport,Toor Dust
2024-10-29,Sri Traders,47312.07,Packing,Toor Dust
2024-09-17,Sri Traders,45592.93,Transport,Moong Dust
2024-07-19,Ganesh Suppliers,30922.75,Transport,Moong Dust
2024-06-24,Balaji & Co,26715.69,Packing,Moong Dust
2024-07-11,Balaji & Co,44476.86,Salary,Moong Dhall
2024-05-27,Ganesh Suppliers,51790.39,Transport,Orid Polish
2024-05-10,Balaji & Co,51902.22,Transport,Orid Dhall
2024-10-29,Vasanth Stores,38468.32,Packing,Orid Polish
2025-03-16,Ganesh Suppliers,16982.12,Packing,Moong Dhall
2024-10-08,Ganesh Suppliers,34383.19,Packing,Orid Dust
2024-06-28,Sri Traders,35517.96,Transport,Moong Dust
2024-12-24,Balaji & Co,23522.88,Packing,Toor Dhall
2025-03-09,Sri Traders,12813.39,Packing,Moong Dust
2024-09-02,Ganesh Suppliers,100000,Transport,Toor Dust
2024-06-19,Sri Traders,73209.69,Transport,Toor Dust
2024-09-19,Ganesh Suppliers,98962.73,Transport,Toor Dhall
2024-05-05,Vasanth Stores,51828.42,Transport,Orid Polish
2024-10-09,Sri Traders,30521.18,Office Supplies,Orid Dust
2024-08-20,Sri Traders,45010.62,Packing,Moong Dust
2025-02-13,Sri Traders,27950.49,Office Supplies,Orid Polish
2024-06-28,Balaji & Co,35957.89,Salary,Moong Dhall
2024-11-19,Sri Traders,29965.74,Packing,Orid Dhall
2024-07-26,Amman Agencies,63855.37,Transport,Orid Polish
2024-09-01,Balaji & Co,49398.39,Transport,Moong Dhall
2024-08-31,Vasanth Stores,88710.9,Salary,Orid Dust
2024-07-02,Vasanth Stores,42370.99,Transport,Moong Dust
2024-06-30,Amman Agencies,33847.17,Packing,Moong Dust
2024-10-17,Amman Agencies,33704.83,Packing,Orid Dhall
2024-07-26,Ganesh Suppliers,72921.15,Office Supplies,Toor Dust
2024-06-07,Ganesh Suppliers,66375.35,Salary,Toor Dhall
2024-10-01,Vasanth Stores,48747.2,Office Supplies,Toor Dust
2024-12-25,Sri Traders,8844.87,Transport,Moong Dust
2024-04-03,Balaji & Co,45565.02,Packing,Orid Polish
2024-05-29,Vasanth Stores,56236.39,Transport,Toor Dhall
2024-07-01,Vasanth Stores,37758.51,Transport,Moong Dust
2024-10-08,Amman Agencies,49999.33,Maintenance,Toor Dhall
2024-09-09,Sri Traders,100000,Transport,Toor Dhall
2024-08-29,Amman Agencies,94290.88,Office Supplies,Orid Polish
2024-07-25,Sri Traders,61775.11,Transport,Orid Dust
2024-06-09,Balaji & Co,38529.25,Transport,Moong Dhall
2024-07-19,Vasanth Stores,37659.72,Office Supplies,Moong Dust
2024-04-30,Amman Agencies,21412.89,Salary,Moong Dust
2024-08-30,Sri Traders,100000,Transport,Toor Dhall
2024-08-30,Vasanth Stores,71259.46,Transport,Orid Polish
2024-10-20,Ganesh Suppliers,23850.2,Transport,Moong Dhall
2024-08-09,Sri Traders,73812.48,Packing,Orid Polish
2024-07-28,Balaji & Co,83209.73,Office Supplies,Toor Dhall
2024-07-03,Vasanth Stores,51221.91,Transport,Orid Dhall
2024-04-25,Vasanth Stores,40840.89,Transport,Orid Dust
2024-04-13,Sri Traders,29027.73,Office Supplies,Moong Dhall
2024-10-14,Sri Traders,34837.5,Packing,Orid Dhall
2024-06-01,Ganesh Suppliers,67541.38,Salary,Toor Dust
2024-09-12,Amman Agencies,75828.09,Office Supplies,Orid Dhall
2024-05-12,Balaji & Co,50712.94,Packing,Orid Polish
2024-06-11,Amman Agencies,50633.38,Packing,Orid Polish
2024-08-06,Vasanth Stores,73025.75,Packing,Orid Dhall
2024-07-08,Balaji & Co,35624.06,Transport,Moong Dhall
2024-04-02,Amman Agencies,37851.85,Packing,Orid Dust
2025-03-14,Ganesh Suppliers,21926.93,Packing,Orid Dust
2024-07-13,Balaji & Co,51381.02,Packing,Orid Dust
2024-05-25,Balaji & Co,52664.52,Office Supplies,Orid Polish
2024-08-12,Sri Traders,100000,Transport,Toor Dhall
2024-07-08,Vasanth Stores,80858.57,Packing,Toor Dust
2024-09-18,Ganesh Suppliers,88661.28,Transport,Toor Dust
2024-05-16,Vasanth Stores,36901.45,Transport,Moong Dhall
2025-03-05,Balaji & Co,18045.87,Transport,Moong Dhall
2024-08-06,Amman Agencies,100000,Packing,Toor Dhall
2024-10-14,Balaji & Co,47257.94,Transport,Toor Dhall
2024-11-25,Sri Traders,28769.66,Packing,Toor Dust
2024-05-21,Ganesh Suppliers,46790.18,Office Supplies,Orid Dhall
2024-06-24,Sri Traders,47113.82,Office Supplies,Orid Dhall
2024-07-25,Balaji & Co,76937.33,Packing,Toor Dhall
2024-07-29,Balaji & Co,34032.54,Maintenance,Moong Dust
2024-06-04,Balaji & Co,51085.47,Maintenance,Orid Dust
2025-02-02,Amman Agencies,17868.53,Salary,Moong Dhall
2024-11-28,Vasanth Stores,32212.18,Transport,Toor Dust
2024-09-01,Ganesh Suppliers,46331.81,Packing,Moong Dust
2024-08-23,Amman Agencies,100000,Packing,Toor Dust
2024-06-02,Sri Traders,36086.96,Transport,Moong Dhall
2024-04-30,Sri Traders,39101.86,Packing,Orid Dhall
2024-06-20,Balaji & Co,33953.89,Maintenance,Moong Dhall
2024-04-29,Sri Traders,44041.78,Office Supplies,Orid Dhall
2024-05-23,Amman Agencies,64861.78,Transport,Toor Dust
2024-08-11,Ganesh Suppliers,56474.72,Packing,Moong Dhall
2025-01-02,Amman Agencies,15351.15,Transport,Toor Dhall
2024-08-07,Sri Traders,74009.81,Transport,Orid Dhall
2024-09-14,Ganesh Suppliers,52182.48,Packing,Moong Dust
2024-07-16,Amman Agencies,42452.55,Transport,Moong Dhall
2025-03-12,Ganesh Suppliers,21810.58,Office Supplies,Orid Dhall
2024-04-02,Ganesh Suppliers,21162.36,Maintenance,Moong Dust
2024-07-21,Amman Agencies,43352.65,Office Supplies,Moong Dust
2024-10-16,Amman Agencies,32717.76,Transport,Orid Dust
2024-05-27,Amman Agencies,45953.89,Transport,Orid Dust
2024-06-05,Ganesh Suppliers,37043.5,Packing,Moong Dust
2024-06-18,Ganesh Suppliers,54285.2,Maintenance,Orid Polish
2024-09-21,Vasanth Stores,80451.29,Transport,Orid Dust
2024-09-07,Vasanth Stores,64708.47,Packing,Orid Polish
2024-08-14,Amman Agencies,79645.29,Packing,Orid Dhall
2024-12-06,Vasanth Stores,9046.71,Transport,Moong Dust
2024-08-22,Ganesh Suppliers,88796.8,Packing,Toor Dust
2024-06-04,Amman Agencies,75138.79,Transport,Toor Dust
2024-06-06,Sri Traders,60275.11,Packing,Toor Dust
2024-06-21,Amman Agencies,53675.84,Packing,Orid Dust
2024-09-28,Vasanth Stores,85972.19,Salary,Orid Polish
2024-06-10,Amman Agencies,50596.65,Office Supplies,Orid Polish
2024-11-27,Vasanth Stores,25875.7,Salary,Orid Dhall
2024-06-28,Vasanth Stores,65723.53,Transport,Toor Dhall
2024-08-19,Ganesh Suppliers,100000,Packing,Toor Dust
2024-11-29,Sri Traders,30800.42,Transport,Toor Dhall
2024-06-08,Balaji & Co,40614.29,Transport,Moong Dhall
2024-10-15,Vasanth Stores,56861.81,Packing,Toor Dhall
2024-10-12,Amman Agencies,24320.04,Office Supplies,Moong Dhall
2024-09-18,Vasanth Stores,78007.12,Packing,Orid Polish
2024-09-08,Balaji & Co,73074.86,Packing,Orid Polish
2024-08-02,Sri Traders,100000,Packing,Toor Dhall
2024-07-03,Sri Traders,39515.96,Packing,Moong Dust
2025-02-13,Vasanth Stores,19576.48,Maintenance,Moong Dhall
2024-04-19,Ganesh Suppliers,49990.24,Transport,Toor Dhall
2024-09-08,Vasanth Stores,52587.83,Transport,Moong Dhall
2024-05-13,Ganesh Suppliers,31331.5,Transport,Moong Dust
2024-09-27,Sri Traders,48334.06,Transport,Moong Dust
2024-10-03,Amman Agencies,39140.71,Packing,Orid Polish
2024-09-02,Balaji & Co,77388.5,Transport,Orid Polish
2025-01-30,Sri Traders,15166.92,Packing,Toor Dhall
2024-08-29,Amman Agencies,50940.19,Packing,Moong Dust
2024-09-25,Balaji & Co,72291.07,Packing,Orid Dhall
2024-08-27,Sri Traders,82306.77,Packing,Orid Dhall
2025-02-26,Ganesh Suppliers,19636.34,Packing,Moong Dhall
2025-03-05,Amman Agencies,25118.02,Packing,Toor Dust
2024-07-27,Sri Traders,88860.2,Transport,Toor Dhall
2024-04-14,Ganesh Suppliers,44814.02,Transport,Toor Dust
2024-08-07,Balaji & Co,81127.13,Packing,Orid Dust
2024-08-19,Ganesh Suppliers,74045.77,Transport,Orid Dust
2024-05-12,Balaji & Co,70020.91,Packing,Toor Dhall
2024-10-18,Amman Agencies,41736.5,Transport,Orid Dust
2025-02-08,Amman Agencies,15717.32,Transport,Moong Dhall
